link_id, from_tile_id, from_pos_idx, to_tile_id, to_pos_idx, control_radius_percent, color, ref_color, opacity
l1383,tile8,150,tile0,145,0.3, ,c8,0.1
l1384,tile0,145,tile6,145,0.3, ,c0,0.1
l1385,tile6,146,tile5,159,0.3, ,c6,0.1
l1386,tile5,159,tile4,143,0.3, ,c5,0.1
l1387,tile4,143,tile9,167,0.3, ,c4,0.1
l1388,tile9,168,tile1,165,0.3, ,c9,0.1
l1389,tile1,166,tile9,169,0.3, ,c1,0.1
l1390,tile9,169,tile8,151,0.3, ,c9,0.1
l1391,tile8,152,tile1,167,0.3, ,c8,0.1
l1392,tile1,167,tile8,153,0.3, ,c1,0.1
l1393,tile8,153,tile3,150,0.3, ,c8,0.1
l1394,tile3,150,tile4,144,0.3, ,c3,0.1
l1395,tile4,144,tile7,145,0.3, ,c4,0.1
l1396,tile7,145,tile9,170,0.3, ,c7,0.1
l1397,tile9,170,tile7,146,0.3, ,c9,0.1
l1398,tile7,147,tile5,160,0.3, ,c7,0.1
l1399,tile5,160,tile3,151,0.3, ,c5,0.1
l1400,tile3,151,tile5,161,0.3, ,c3,0.1
l1401,tile5,161,tile6,147,0.3, ,c5,0.1
l1402,tile6,148,tile3,152,0.3, ,c6,0.1
l1403,tile3,152,tile6,149,0.3, ,c3,0.1
l1404,tile6,149,tile9,171,0.3, ,c6,0.1
l1405,tile9,171,tile8,154,0.3, ,c9,0.1
l1406,tile8,154,tile0,146,0.3, ,c8,0.1
l1407,tile0,146,tile7,148,0.3, ,c0,0.1
l1408,tile7,148,tile4,145,0.3, ,c7,0.1
l1409,tile4,145,tile2,157,0.3, ,c4,0.1
l1410,tile2,157,tile6,150,0.3, ,c2,0.1
l1411,tile6,150,tile5,162,0.3, ,c6,0.1
l1412,tile5,162,tile4,146,0.3, ,c5,0.1
l1413,tile4,146,tile2,158,0.3, ,c4,0.1
l1414,tile2,158,tile5,163,0.3, ,c2,0.1
l1415,tile5,163,tile2,159,0.3, ,c5,0.1
l1416,tile2,159,tile7,149,0.3, ,c2,0.1
l1417,tile7,149,tile8,155,0.3, ,c7,0.1
l1418,tile8,155,tile6,151,0.3, ,c8,0.1
l1419,tile6,151,tile2,160,0.3, ,c6,0.1
l1420,tile2,160,tile5,164,0.3, ,c2,0.1
l1421,tile5,165,tile1,168,0.3, ,c5,0.1
l1422,tile1,168,tile8,156,0.3, ,c1,0.1
l1423,tile8,156,tile1,169,0.3, ,c8,0.1
l1424,tile1,169,tile8,157,0.3, ,c1,0.1
l1425,tile8,157,tile4,147,0.3, ,c8,0.1
l1426,tile4,147,tile1,170,0.3, ,c4,0.1
l1427,tile1,170,tile7,150,0.3, ,c1,0.1
l1428,tile7,150,tile5,166,0.3, ,c7,0.1
l1429,tile5,166,tile7,151,0.3, ,c5,0.1
l1430,tile7,151,tile4,148,0.3, ,c7,0.1
l1431,tile4,148,tile6,152,0.3, ,c4,0.1
l1432,tile6,152,tile7,152,0.3, ,c6,0.1
l1433,tile7,152,tile2,161,0.3, ,c7,0.1
l1434,tile2,161,tile8,158,0.3, ,c2,0.1
l1435,tile8,158,tile9,172,0.3, ,c8,0.1
l1436,tile9,172,tile0,147,0.3, ,c9,0.1
l1437,tile0,147,tile9,173,0.3, ,c0,0.1
l1438,tile9,173,tile7,153,0.3, ,c9,0.1
l1439,tile7,156,tile2,162,0.3, ,c7,0.1
l1440,tile2,162,tile7,157,0.3, ,c2,0.1
l1441,tile7,157,tile9,174,0.3, ,c7,0.1
l1442,tile9,174,tile3,153,0.3, ,c9,0.1
l1443,tile3,153,tile8,159,0.3, ,c3,0.1
l1444,tile8,159,tile0,148,0.3, ,c8,0.1
l1445,tile0,150,tile8,160,0.3, ,c0,0.1
l1446,tile8,160,tile1,171,0.3, ,c8,0.1
l1447,tile1,171,tile6,153,0.3, ,c1,0.1
l1448,tile6,153,tile4,149,0.3, ,c6,0.1
l1449,tile4,149,tile7,158,0.3, ,c4,0.1
l1450,tile7,158,tile0,151,0.3, ,c7,0.1
l1451,tile0,151,tile6,154,0.3, ,c0,0.1
l1452,tile6,154,tile0,152,0.3, ,c6,0.1
l1453,tile0,153,tile1,172,0.3, ,c0,0.1
l1454,tile1,172,tile6,155,0.3, ,c1,0.1
l1455,tile6,155,tile1,173,0.3, ,c6,0.1
l1456,tile1,173,tile4,150,0.3, ,c1,0.1
l1457,tile4,150,tile5,167,0.3, ,c4,0.1
l1458,tile5,167,tile2,163,0.3, ,c5,0.1
l1459,tile2,163,tile4,151,0.3, ,c2,0.1
l1460,tile4,151,tile9,175,0.3, ,c4,0.1
l1461,tile9,175,tile1,174,0.3, ,c9,0.1
l1462,tile1,174,tile9,176,0.3, ,c1,0.1
l1463,tile9,176,tile2,164,0.3, ,c9,0.1
l1464,tile2,164,tile1,175,0.3, ,c2,0.1
l1465,tile1,175,tile7,159,0.3, ,c1,0.1
l1466,tile7,159,tile3,154,0.3, ,c7,0.1
l1467,tile3,154,tile2,165,0.3, ,c3,0.1
l1468,tile2,165,tile1,176,0.3, ,c2,0.1
l1469,tile1,176,tile7,160,0.3, ,c1,0.1
l1470,tile7,160,tile2,166,0.3, ,c7,0.1
l1471,tile2,166,tile1,177,0.3, ,c2,0.1
l1472,tile1,177,tile4,152,0.3, ,c1,0.1
l1473,tile4,152,tile7,161,0.3, ,c4,0.1
l1474,tile7,162,tile2,167,0.3, ,c7,0.1
l1475,tile2,167,tile3,155,0.3, ,c2,0.1
l1476,tile3,155,tile5,168,0.3, ,c3,0.1
l1477,tile5,168,tile0,154,0.3, ,c5,0.1
l1478,tile0,154,tile1,178,0.3, ,c0,0.1
l1479,tile1,178,tile4,153,0.3, ,c1,0.1
l1480,tile4,153,tile1,179,0.3, ,c4,0.1
l1481,tile1,179,tile4,154,0.3, ,c1,0.1
l1482,tile4,155,tile1,180,0.3, ,c4,0.1
l1483,tile1,180,tile9,177,0.3, ,c1,0.1
l1484,tile9,177,tile7,163,0.3, ,c9,0.1
l1485,tile7,163,tile3,156,0.3, ,c7,0.1
l1486,tile3,156,tile5,169,0.3, ,c3,0.1
l1487,tile5,169,tile6,156,0.3, ,c5,0.1
